id,school_name,logo,address
wildav,Robert E Willett Elementary,https://github.com/luforestal/WilletMap/blob/main/school_logo.png,"1207 Sycamore Ln, Davis, CA 95616"
coocol,Cooley Ranch Elementary School,"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_1/v1706739515/coltonk12caus/m1k2du3ug8oagggqdqxe/School_Logos_Color_Cooley1.png","1000 S Cooley Dr E, Colton, CA 92324"
